,Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Position_x,Country_x,Image_x,Position_y,Country_y,Image_y
0,1994,Spain,2,2,Korea Republic, ,9.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,37.0,Korea Republic,https://api.fifa.com/api/v1/picture/flags-sq-4/kor
1,1994,Germany,1,0,Bolivia, ,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,43.0,Bolivia,https://api.fifa.com/api/v1/picture/flags-sq-4/bol
2,1994,USA,1,1,Switzerland, ,23.0,USA,https://api.fifa.com/api/v1/picture/flags-sq-4/usa,8.0,Switzerland,https://api.fifa.com/api/v1/picture/flags-sq-4/sui
3,1994,Italy,0,1,"rn"">Republic of Ireland", ,16.0,Italy,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,,,
4,1994,Colombia,1,3,Romania, ,18.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col,10.0,Romania,https://api.fifa.com/api/v1/picture/flags-sq-4/rou
5,1994,Belgium,1,0,Morocco, ,34.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,30.0,Morocco,https://api.fifa.com/api/v1/picture/flags-sq-4/mar
6,1994,Norway,1,0,Mexico, ,4.0,Norway,https://api.fifa.com/api/v1/picture/flags-sq-4/nor,13.0,Mexico,https://api.fifa.com/api/v1/picture/flags-sq-4/mex
7,1994,Cameroon,2,2,Sweden, ,24.0,Cameroon,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,3.0,Sweden,https://api.fifa.com/api/v1/picture/flags-sq-4/swe
8,1994,Netherlands,2,1,Saudi Arabia, ,11.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,35.0,Saudi Arabia,https://api.fifa.com/api/v1/picture/flags-sq-4/ksa
9,1994,Brazil,2,0,Russia, ,1.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,20.0,Russia,https://api.fifa.com/api/v1/picture/flags-sq-4/rus
10,1994,Argentina,4,0,Greece, ,6.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,32.0,Greece,https://api.fifa.com/api/v1/picture/flags-sq-4/gre
11,1994,Nigeria,3,0,Bulgaria, ,7.0,Nigeria,https://api.fifa.com/api/v1/picture/flags-sq-4/nga,29.0,Bulgaria,https://api.fifa.com/api/v1/picture/flags-sq-4/bul
12,1994,Germany,1,1,Spain, ,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,9.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp
13,1994,Romania,1,4,Switzerland, ,10.0,Romania,https://api.fifa.com/api/v1/picture/flags-sq-4/rou,8.0,Switzerland,https://api.fifa.com/api/v1/picture/flags-sq-4/sui
14,1994,USA,2,1,Colombia, ,23.0,USA,https://api.fifa.com/api/v1/picture/flags-sq-4/usa,18.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col
15,1994,Italy,1,0,Norway, ,16.0,Italy,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,4.0,Norway,https://api.fifa.com/api/v1/picture/flags-sq-4/nor
16,1994,Korea Republic,0,0,Bolivia, ,37.0,Korea Republic,https://api.fifa.com/api/v1/picture/flags-sq-4/kor,43.0,Bolivia,https://api.fifa.com/api/v1/picture/flags-sq-4/bol
